iter	Passed	Remaining
442	2121	272
443	2125	268
444	2129	263
445	2134	258
446	2138	253
447	2143	248
448	2146	243
449	2152	239
450	2157	234
451	2160	229
452	2166	224
453	2172	220
454	2177	215
455	2181	210
456	2186	205
457	2192	201
458	2199	196
459	2206	191
460	2212	187
461	2219	182
462	2223	177
463	2227	172
464	2232	168
465	2238	163
466	2242	158
467	2246	153
468	2251	148
469	2256	144
470	2264	139
471	2269	134
472	2273	129
473	2277	124
474	2282	120
475	2287	115
476	2291	110
477	2295	105
478	2301	100
479	2306	96
480	2310	91
481	2315	86
482	2319	81
483	2323	76
484	2327	71
485	2333	67
486	2337	62
487	2343	57
488	2349	52
489	2353	48
490	2356	43
491	2360	38
492	2365	33
493	2369	28
494	2373	23
495	2379	19
496	2383	14
497	2386	9
498	2391	4
499	2397	0
